consumer_id,service_type,region,tenure_months,new_customer_price,renewal_price,is_anomaly
CONS_00001,subscription,Midlands,4,14.97,15.74,False
CONS_00002,mobile,Midlands,28,22.16,29.92,True
CONS_00003,subscription,South East,9,12.91,11.25,False
CONS_00004,mobile,London,11,17.77,20.07,False
CONS_00005,broadband,South East,120,24.39,28.19,True
CONS_00006,subscription,London,24,10.0,9.81,False
CONS_00007,subscription,North West,40,11.97,12.84,False
CONS_00008,subscription,North East,9,10.94,11.34,False
CONS_00009,broadband,London,7,22.08,27.65,False
CONS_00010,mobile,South East,3,27.36,33.75,False
CONS_00011,broadband,Midlands,4,24.43,24.65,False
CONS_00012,subscription,North West,7,8.91,8.38,False
CONS_00013,mobile,London,11,13.86,13.11,False
CONS_00014,subscription,London,7,7.62,8.15,False
CONS_00015,mobile,North East,5,25.85,25.91,False
CONS_00016,broadband,London,17,25.27,24.2,False
CONS_00017,mobile,Wales,9,18.33,18.4,False
CONS_00018,broadband,Midlands,20,33.41,36.25,False
CONS_00019,subscription,South East,23,10.28,10.69,False
CONS_00020,mobile,Midlands,76,28.94,36.71,True
CONS_00021,subscription,London,50,12.37,17.65,True
CONS_00022,broadband,South East,15,30.9,31.12,False
CONS_00023,subscription,South East,18,16.14,16.42,False
CONS_00024,subscription,North East,12,10.51,10.86,False
CONS_00025,subscription,South East,40,13.03,13.88,False
CONS_00026,broadband,London,20,32.14,34.4,False
CONS_00027,mobile,South West,3,16.2,14.86,False
CONS_00028,broadband,London,14,28.77,30.52,False
CONS_00029,broadband,South West,18,25.21,25.63,False
CONS_00030,mobile,Wales,15,18.99,18.33,False
CONS_00031,mobile,Scotland,7,24.18,24.57,False
CONS_00032,subscription,Midlands,13,8.41,9.65,False
CONS_00033,broadband,Midlands,9,24.43,27.28,False
CONS_00034,broadband,London,2,31.23,32.94,False
CONS_00035,mobile,North East,23,25.07,24.43,False
CONS_00036,broadband,North East,13,39.51,37.1,False
CONS_00037,broadband,South West,13,23.62,22.93,False
CONS_00038,mobile,Wales,16,19.14,20.05,False
CONS_00039,broadband,Scotland,6,23.25,24.4,False
CONS_00040,mobile,Scotland,5,20.42,20.29,False
CONS_00041,mobile,London,17,27.07,30.39,False
CONS_00042,subscription,North West,23,10.36,11.18,False
CONS_00043,mobile,Wales,51,27.4,23.21,False
CONS_00044,broadband,Wales,4,22.7,23.97,False
CONS_00045,subscription,South East,24,7.08,7.87,False
CONS_00046,subscription,North West,19,20.89,22.22,False
CONS_00047,broadband,Wales,74,33.87,42.86,True
CONS_00048,broadband,North West,18,28.36,31.09,False
CONS_00049,mobile,North East,15,20.33,20.84,False
CONS_00050,broadband,Midlands,40,32.02,33.34,False
CONS_00051,broadband,London,9,25.8,26.91,False
CONS_00052,broadband,London,6,32.43,34.45,False
CONS_00053,subscription,Midlands,22,13.05,13.04,False
CONS_00054,mobile,North West,21,19.22,21.95,False
CONS_00055,mobile,South West,7,16.26,19.07,False
CONS_00056,subscription,London,22,12.95,12.99,False
CONS_00057,mobile,London,12,23.22,22.14,False
CONS_00058,mobile,North West,23,26.25,24.68,False
CONS_00059,broadband,Midlands,3,26.98,29.17,False
CONS_00060,broadband,North East,9,20.89,22.92,False
CONS_00061,mobile,South West,51,22.71,24.56,False
CONS_00062,mobile,North West,18,17.93,19.52,False
CONS_00063,mobile,Midlands,17,32.51,32.52,False
CONS_00064,subscription,London,12,14.1,12.59,False
CONS_00065,mobile,Scotland,3,13.84,13.92,False
CONS_00066,mobile,South West,64,26.64,31.82,False
CONS_00067,mobile,North West,24,23.03,24.62,False
CONS_00068,broadband,North East,120,34.51,37.37,False
CONS_00069,broadband,South East,1,28.39,31.94,False
CONS_00070,mobile,London,12,24.34,23.82,False
CONS_00071,broadband,Scotland,9,26.85,28.61,False
CONS_00072,mobile,South West,75,18.48,20.15,False
CONS_00073,subscription,South East,19,22.38,21.74,False
CONS_00074,broadband,Midlands,18,30.29,32.64,False
CONS_00075,broadband,London,15,21.32,24.75,False
CONS_00076,broadband,Midlands,29,31.22,41.2,True
CONS_00077,broadband,Scotland,3,25.34,25.69,False
CONS_00078,mobile,London,120,21.24,19.37,False
CONS_00079,mobile,Midlands,6,23.43,24.86,False
CONS_00080,subscription,Midlands,3,11.27,11.19,False
CONS_00081,mobile,North West,120,21.55,22.88,False
CONS_00082,mobile,South East,65,14.81,14.49,False
CONS_00083,subscription,London,51,9.93,10.44,False
CONS_00084,broadband,North East,24,27.71,31.99,False
CONS_00085,broadband,Wales,36,36.06,43.19,True
CONS_00086,broadband,Midlands,6,32.59,34.03,False
CONS_00087,mobile,Midlands,92,31.99,40.29,True
CONS_00088,mobile,Midlands,4,25.33,23.24,False
CONS_00089,broadband,London,23,27.59,29.76,False
CONS_00090,mobile,North West,4,22.13,23.2,False
CONS_00091,broadband,Wales,120,28.02,35.64,True
CONS_00092,mobile,London,27,22.45,32.14,True
CONS_00093,mobile,London,21,31.79,33.84,False
CONS_00094,broadband,Wales,14,16.99,19.22,False
CONS_00095,broadband,South West,20,24.2,24.29,False
CONS_00096,mobile,Wales,16,18.66,19.09,False
CONS_00097,broadband,London,17,29.59,28.53,False
CONS_00098,broadband,North East,19,24.49,26.03,False
CONS_00099,broadband,London,18,21.84,23.17,False
CONS_00100,subscription,South East,7,19.79,20.29,False
CONS_00101,subscription,North East,23,9.38,10.42,False
CONS_00102,mobile,Midlands,2,17.76,17.11,False
CONS_00103,broadband,North East,16,31.54,33.35,False
CONS_00104,subscription,Midlands,7,16.83,18.48,False
CONS_00105,subscription,Wales,50,12.25,12.28,False
CONS_00106,mobile,South East,41,26.47,24.83,False
CONS_00107,mobile,South East,6,24.31,22.22,False
CONS_00108,broadband,North East,45,37.31,45.2,True
CONS_00109,broadband,South West,35,24.7,30.11,True
CONS_00110,subscription,South East,8,13.78,14.6,False
CONS_00111,mobile,South East,8,17.6,21.09,False
CONS_00112,broadband,South East,13,34.17,34.06,False
CONS_00113,broadband,South East,21,33.14,35.96,False
CONS_00114,mobile,South West,19,27.89,24.05,False
CONS_00115,broadband,London,42,23.45,25.29,False
CONS_00116,subscription,North West,8,8.94,8.58,False
CONS_00117,subscription,North East,17,22.7,23.02,False
CONS_00118,mobile,Scotland,1,23.43,24.68,False
CONS_00119,mobile,North West,9,18.03,16.53,False
CONS_00120,mobile,South East,20,24.46,32.91,False
CONS_00121,mobile,London,42,23.67,23.61,False
CONS_00122,mobile,South East,4,21.54,23.66,False
CONS_00123,broadband,London,4,24.67,29.09,False
CONS_00124,mobile,London,28,23.9,32.91,True
CONS_00125,broadband,London,51,41.27,44.22,False
CONS_00126,mobile,South East,28,25.2,23.91,False
CONS_00127,broadband,London,9,22.79,24.05,False
CONS_00128,broadband,North East,64,25.27,22.84,False
CONS_00129,broadband,London,1,42.66,43.49,False
CONS_00130,mobile,North West,2,26.85,32.13,False
CONS_00131,broadband,South West,4,25.48,23.83,False
CONS_00132,subscription,London,10,11.41,11.18,False
CONS_00133,mobile,North West,31,22.49,27.3,False
CONS_00134,broadband,South West,3,37.66,38.87,False
CONS_00135,mobile,Scotland,112,20.7,20.17,False
CONS_00136,broadband,South East,12,23.23,25.08,False
CONS_00137,subscription,Midlands,22,10.6,10.69,False
CONS_00138,mobile,Midlands,3,23.15,19.5,False
CONS_00139,subscription,South East,45,14.15,13.29,False
CONS_00140,broadband,London,21,29.42,36.29,False
CONS_00141,mobile,London,16,28.53,30.65,False
CONS_00142,mobile,Midlands,5,25.22,29.67,False
CONS_00143,subscription,South East,66,10.74,13.48,True
CONS_00144,mobile,London,62,20.44,19.71,False
CONS_00145,mobile,North West,8,22.23,23.17,False
CONS_00146,broadband,South West,60,35.67,36.83,False
CONS_00147,broadband,London,9,26.01,26.06,False
CONS_00148,mobile,London,5,31.66,33.7,False
CONS_00149,mobile,North West,19,25.89,24.79,False
CONS_00150,broadband,Midlands,8,29.19,33.65,False
CONS_00151,subscription,North West,18,13.75,14.94,False
CONS_00152,subscription,South West,8,9.31,9.61,False
CONS_00153,broadband,London,4,33.28,35.21,False
CONS_00154,mobile,South East,21,22.71,23.2,False
CONS_00155,broadband,South East,7,23.81,21.72,False
CONS_00156,mobile,South East,15,28.21,27.28,False
CONS_00157,broadband,North West,2,45.11,46.54,False
CONS_00158,mobile,Midlands,42,19.5,19.84,False
CONS_00159,mobile,South East,5,23.61,26.02,False
CONS_00160,subscription,Midlands,26,12.89,14.11,False
CONS_00161,broadband,London,15,35.32,35.35,False
CONS_00162,subscription,Scotland,3,10.84,10.51,False
CONS_00163,broadband,South East,13,26.6,29.57,False
CONS_00164,broadband,Scotland,24,27.27,28.98,False
CONS_00165,mobile,London,4,33.16,33.03,False
CONS_00166,broadband,North East,58,42.19,40.31,False
CONS_00167,subscription,South West,15,10.4,10.31,False
CONS_00168,subscription,Midlands,17,10.02,10.82,False
CONS_00169,broadband,South West,35,26.61,31.87,False
CONS_00170,subscription,London,4,15.3,15.75,False
CONS_00171,broadband,North West,7,25.98,25.44,False
CONS_00172,mobile,South East,57,25.35,31.52,False
CONS_00173,broadband,South West,49,36.11,36.69,False
CONS_00174,subscription,London,12,11.49,11.29,False
CONS_00175,broadband,South East,11,21.51,21.79,False
CONS_00176,broadband,Midlands,13,28.15,28.41,False
CONS_00177,mobile,London,52,31.35,36.32,False
CONS_00178,subscription,Midlands,17,11.94,10.93,False
CONS_00179,subscription,South East,12,13.76,15.1,False
CONS_00180,mobile,Wales,9,21.56,22.55,False
CONS_00181,subscription,South West,20,16.22,16.24,False
CONS_00182,subscription,Scotland,23,10.07,10.26,False
CONS_00183,mobile,South East,17,19.78,20.29,False
CONS_00184,broadband,London,17,29.1,30.67,False
CONS_00185,subscription,London,12,13.11,13.24,False
CONS_00186,mobile,London,8,28.34,29.51,False
CONS_00187,broadband,Scotland,10,24.79,24.38,False
CONS_00188,broadband,South East,4,20.8,25.92,False
CONS_00189,mobile,South East,45,14.7,16.68,False
CONS_00190,broadband,South East,17,29.01,31.57,False
